plume_id,ok,safe,tile,sensing,out_abs,out_rel,shift_row_px,shift_col_px,missing_bands,idx,reason,ref,row,col,h,w
GAO20191020t171158p0000-A,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,T14SKA,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",18,,,,,,
GAO20191020t165717p0000-A,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,T14SKA,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",12,,,,,,
GAO20191020t165717p0000-C,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,T14SKA,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",14,,,,,,
GAO20191020t165717p0000-B,1,S2A_MSIL2A_20191010T172231_N0500_R012_T14SKA_20230614T022721.SAFE,T14SKA,20191010T172231,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",13,,,,,,
GAO20191020t171158p0000-F,1,S2B_MSIL2A_20191018T173329_N0500_R055_T14SKA_20230614T171342.SAFE,T14SKA,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-F/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-F/s2_-7.tif,0.0,0.0,"B09,B10",23,,,,,,
GAO20191020t171158p0000-D,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SGR_20230614T171342.SAFE,T13SGR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",21,,,,,,
GAO20191020t171158p0000-C,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SGR_20230614T171342.SAFE,T13SGR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",20,,,,,,
GAO20191020t165717p0000-D,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SGR_20230614T171342.SAFE,T13SGR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t165717p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",15,,,,,,
GAO20191020t171158p0000-E,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SGR_20230614T171342.SAFE,T13SGR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-E/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t171158p0000-E/s2_-7.tif,0.0,0.0,"B09,B10",22,,,,,,
GAO20191020t182037p0000-B,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t182037p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t182037p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",33,,,,,,
GAO20191020t173137p0000-F,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-F/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-F/s2_-7.tif,0.0,213.0,"B09,B10",29,,,,,,
GAO20191020t173137p0000-B,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",25,,,,,,
GAO20191020t182037p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t182037p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t182037p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",32,,,,,,
GAO20191020t173137p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",24,,,,,,
GAO20191020t180552p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t180552p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t180552p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",31,,,,,,
GAO20191020t184019p0000-B,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t184019p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t184019p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",35,,,,,,
GAO20191020t184019p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t184019p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t184019p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",34,,,,,,
GAO20191020t173137p0000-D,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",27,,,,,,
GAO20191020t173137p0000-C,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",26,,,,,,
GAO20191020t174612p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t174612p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t174612p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",30,,,,,,
GAO20191020t173137p0000-E,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-E/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t173137p0000-E/s2_-7.tif,0.0,0.0,"B09,B10",28,,,,,,
GAO20191020t185458p0000-B,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",37,,,,,,
GAO20191020t191513p0000-A,1,S2A_MSIL2A_20191020T172341_N0500_R012_T13SGR_20230615T204009.SAFE,T13SGR,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t191513p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t191513p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",40,,,,,,
GAO20191023t145412p0000-B,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",42,,,,,,
GAO20191023t145412p0000-A,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",41,,,,,,
GAO20191023t145412p0000-F,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-F/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-F/s2_-7.tif,0.0,0.0,"B09,B10",46,,,,,,
GAO20191023t145412p0000-C,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",43,,,,,,
GAO20191020t185458p0000-C,1,S2A_MSIL2A_20191020T172341_N0500_R012_T14SKA_20230615T204009.SAFE,T14SKA,20191020T172341,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191020t185458p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",38,,,,,,
