plume_id,ok,reason,event_datetime,lat,lon,s2_path,s2_minus7_id,s2_minus7_product_name,s2_minus7_datetime,raw_dir_exists,crop_ok,crop_reason,bug,s2_t0_std_512,s2_minus7_std_512,s2_minus90_std_512,s2_minus360_std_512
GAO20230818t160852p0000-A,1,,2023-08-18T16:08:52+00:00,32.08268597328461,-104.20384379040462,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-A/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-A/s2_-7_std_512.tif,,
GAO20230818t160852p0000-D,1,,2023-08-18T16:08:52+00:00,32.14890181609607,-104.11678190725604,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-D/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-D/s2_-7_std_512.tif,,
GAO20230818t160852p0000-G,1,,2023-08-18T16:08:52+00:00,32.269096389908285,-103.91382053752814,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-G/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-G/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-G/s2_-7_std_512.tif,,
GAO20230818t160852p0000-F,1,,2023-08-18T16:08:52+00:00,32.1961166545282,-104.00332713267228,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-F/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-F/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-F/s2_-7_std_512.tif,,
GAO20230818t160852p0000-I,1,,2023-08-18T16:08:52+00:00,32.20278461192326,-104.01237920528692,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-I/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-I/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-I/s2_-7_std_512.tif,,
GAO20230818t160852p0000-E,1,,2023-08-18T16:08:52+00:00,32.17979616563855,-104.06316120892964,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-E/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-E/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-E/s2_-7_std_512.tif,,
GAO20230818t160852p0000-J,1,,2023-08-18T16:08:52+00:00,32.151044685345894,-104.0712496941964,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t160852p0000-J/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-J/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t160852p0000-J/s2_-7_std_512.tif,,
GAO20230818t162225p0000-A,1,,2023-08-18T16:22:25+00:00,32.124510548863185,-104.1185985472592,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-A/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-A/s2_-7_std_512.tif,,
GAO20230818t162225p0000-C,1,,2023-08-18T16:22:25+00:00,32.19622593846506,-104.00348414354156,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-C/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-C/s2_-7_std_512.tif,,
GAO20230818t162225p0000-E,1,,2023-08-18T16:22:25+00:00,32.20601832014309,-103.9383769987525,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-E/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-E/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-E/s2_-7_std_512.tif,,
GAO20230818t162225p0000-G,1,,2023-08-18T16:22:25+00:00,32.15115078087233,-104.07162470829628,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-G/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-G/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-G/s2_-7_std_512.tif,,
GAO20230818t162225p0000-F,1,,2023-08-18T16:22:25+00:00,32.31284369613927,-103.7931722125726,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-F/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-F/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-F/s2_-7_std_512.tif,,
GAO20230818t162225p0000-H,1,,2023-08-18T16:22:25+00:00,32.34096046835943,-103.7308760171796,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-H/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-H/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-H/s2_-7_std_512.tif,,
GAO20230818t162225p0000-D,1,,2023-08-18T16:22:25+00:00,32.20011970078494,-103.9778880761822,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t162225p0000-D/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t162225p0000-D/s2_-7_std_512.tif,,
GAO20230818t163705p0000-A,1,,2023-08-18T16:37:05+00:00,32.03873395882181,-104.20368012613842,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t163705p0000-A/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-A/s2_-7_std_512.tif,,
GAO20230818t163705p0000-C,1,,2023-08-18T16:37:05+00:00,32.15039362280777,-103.99593696176328,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t163705p0000-C/s2.tif,d63c31ce-dbe2-4f68-9667-7fea0b5437fb,S2A_MSIL2A_20230813T172901_N0510_R055_T13SER_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-C/s2_-7_std_512.tif,,
GAO20230818t163705p0000-D,1,,2023-08-18T16:37:05+00:00,32.2058970240586,-103.93843681465292,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t163705p0000-D/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-D/s2_-7_std_512.tif,,
GAO20230818t163705p0000-I,1,,2023-08-18T16:37:05+00:00,32.350176193827366,-103.69436210554218,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t163705p0000-I/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-I/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-I/s2_-7_std_512.tif,,
GAO20230818t163705p0000-F,1,,2023-08-18T16:37:05+00:00,32.28108159948103,-103.78982128973313,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t163705p0000-F/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-F/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-F/s2_-7_std_512.tif,,
GAO20230818t165006p0000-A,1,,2023-08-18T16:50:06+00:00,32.26947886139051,-103.7978534153191,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t165006p0000-A/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t165006p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t165006p0000-A/s2_-7_std_512.tif,,
GAO20230818t163705p0000-G,1,,2023-08-18T16:37:05+00:00,32.26945013914205,-103.79786303344618,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20230818t163705p0000-G/s2.tif,ffa6f857-703a-4f40-9eca-a8acc7db3ea2,S2A_MSIL2A_20230813T172901_N0510_R055_T13SFR_20240913T093541.SAFE,2023-08-13T17:29:01.024000+00:00,1.0,1,m90 missing; m360 missing,m90 missing; m360 missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-G/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20230818t163705p0000-G/s2_-7_std_512.tif,,
