plume_id,datetime,lat,lon,matched_safe,matched_sensing_time,matched_jp2
GAO20191019t160217p0000-D,2019-10-19T16:02:17+00:00,31.345687,-101.79847,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t160217p0001-A,2019-10-19T16:02:17+00:00,31.362788,-102.17668,S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T13RGQ_20230614T171342.SAFE/T13RGQ_20191018T173329_B11_20m.jp2
GAO20191019t162259p0000-A,2019-10-19T16:22:59+00:00,31.322222,-102.1296,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t162259p0000-B,2019-10-19T16:22:59+00:00,31.3284927,-102.08692,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t162259p0000-C,2019-10-19T16:22:59+00:00,31.342851,-101.98383,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t163802p0000-A,2019-10-19T16:38:02+00:00,31.3166451,-101.45716,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t163802p0000-B,2019-10-19T16:38:02+00:00,31.313913,-101.48817,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t163802p0000-C,2019-10-19T16:38:02+00:00,31.30818,-101.59126,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t163802p0000-D,2019-10-19T16:38:02+00:00,31.316499,-101.44863,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t163802p0000-E,2019-10-19T16:38:02+00:00,31.329598,-101.64411,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
