nm/Band,Pan,Coastal (MS7),Blue (MS4),Green (MS3),Yellow (MS6),Red (MS2),Red Edge (MS5),NIR1 (MS1),NIR2 (MS8),SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8,,Inputs:,
385,1.51E-07,4.57E-05,1.19E-07,4.85E-08,2.01E-11,1.85E-08,1.05E-07,1.49E-07,1.18E-06,0,0,0,0,0,0,0,0,,,
386,1.83E-07,8.02E-05,8.69E-08,1.76E-08,9.53E-09,1.63E-07,6.15E-08,1.46E-07,1.49E-06,0,0,0,0,0,0,0,0,,,
387,2.60E-07,0.000132177,8.28E-08,3.27E-08,8.36E-09,1.92E-07,3.30E-08,1.32E-07,1.72E-06,0,0,0,0,0,0,0,0,,,
388,1.91E-07,0.00019272,1.15E-07,2.96E-08,1.69E-09,5.51E-08,3.14E-08,2.17E-07,1.47E-06,0,0,0,0,0,0,0,0,,,
389,2.22E-07,0.000304506,1.35E-07,3.70E-08,2.29E-11,1.44E-08,3.76E-08,2.95E-07,1.22E-06,0,0,0,0,0,0,0,0,,,
390,2.27E-07,0.000621596,1.25E-07,4.01E-08,2.37E-11,1.01E-07,3.52E-08,5.26E-07,4.00E-07,0,0,0,0,0,0,0,0,,,
391,3.03E-07,0.001108102,1.19E-07,2.45E-08,2.45E-11,1.82E-07,2.19E-08,1.28E-06,9.90E-07,0,0,0,0,0,0,0,0,,,
392,1.81E-07,0.001855553,1.54E-07,2.42E-08,2.52E-11,1.23E-07,1.11E-08,1.60E-06,9.18E-07,0,0,0,0,0,0,0,0,,,
393,2.74E-07,0.003157365,1.84E-07,3.77E-08,2.58E-11,9.27E-08,3.67E-09,1.23E-06,1.96E-07,0,0,0,0,0,0,0,0,,,
394,3.06E-07,0.008299807,1.65E-07,4.37E-08,2.67E-11,1.05E-07,8.45E-08,6.25E-07,1.99E-09,0,0,0,0,0,0,0,0,,,
395,3.11E-07,0.022623082,2.39E-07,4.92E-08,3.17E-08,2.50E-07,2.73E-07,2.69E-07,4.28E-11,0,0,0,0,0,0,0,0,,,
396,3.47E-07,0.041742183,3.27E-07,1.17E-08,7.68E-08,2.72E-07,4.04E-07,2.48E-07,2.28E-08,0,0,0,0,0,0,0,0,,,
397,2.82E-07,0.063454293,4.64E-07,1.21E-08,9.64E-08,1.50E-07,2.37E-07,2.46E-07,2.36E-08,0,0,0,0,0,0,0,0,,,
398,3.58E-07,0.146051156,6.67E-07,2.53E-08,4.49E-08,4.54E-07,8.42E-08,2.45E-07,4.71E-08,0,0,0,0,0,0,0,0,,,
399,3.47E-07,0.24900991,9.29E-07,1.80E-08,2.27E-08,8.79E-07,4.63E-08,3.62E-07,4.67E-08,0,0,0,0,0,0,0,0,,,
400,4.09E-07,0.352718014,1.10E-06,5.33E-08,4.45E-09,7.39E-07,6.53E-08,4.84E-07,1.09E-07,0,0,0,0,0,0,0,0,,,
401,4.54E-07,0.458010625,1.11E-06,1.97E-08,5.36E-09,4.70E-07,6.56E-08,1.12E-06,8.12E-08,0,0,0,0,0,0,0,0,,,
402,4.06E-07,0.531813121,1.11E-06,1.39E-08,4.86E-08,4.59E-07,6.71E-08,3.15E-06,1.52E-08,0,0,0,0,0,0,0,0,,,
403,4.18E-07,0.597852141,1.44E-06,3.34E-08,1.10E-07,2.36E-07,2.39E-08,4.72E-06,5.23E-09,0,0,0,0,0,0,0,0,,,
404,3.42E-07,0.624787185,1.88E-06,3.15E-08,1.25E-07,2.52E-07,2.80E-08,3.22E-06,3.23E-07,0,0,0,0,0,0,0,0,,,
405,4.34E-07,0.640349629,2.34E-06,6.67E-08,1.17E-07,5.98E-07,2.19E-08,9.89E-07,5.16E-07,0,0,0,0,0,0,0,0,,,
406,5.13E-07,0.652264903,2.65E-06,4.37E-08,5.83E-08,1.21E-06,1.45E-08,3.20E-07,1.10E-07,0,0,0,0,0,0,0,0,,,
407,7.13E-07,0.662413289,2.80E-06,1.39E-08,1.47E-08,1.44E-06,2.72E-09,2.89E-07,8.75E-08,0,0,0,0,0,0,0,0,,,
408,7.42E-07,0.677739093,2.93E-06,4.51E-08,1.49E-09,9.36E-07,1.10E-08,2.75E-07,2.27E-08,0,0,0,0,0,0,0,0,,,
409,8.29E-07,0.694590039,3.19E-06,3.92E-08,4.91E-08,9.95E-07,6.74E-08,2.89E-07,2.87E-10,0,0,0,0,0,0,0,0,,,
410,8.57E-07,0.70179146,3.85E-06,2.50E-08,9.34E-08,8.58E-07,2.81E-07,2.83E-07,5.75E-11,0,0,0,0,0,0,0,0,,,
411,9.01E-07,0.705851453,4.53E-06,2.92E-08,2.98E-08,7.07E-07,4.96E-07,3.97E-07,9.06E-08,0,0,0,0,0,0,0,0,,,
412,9.12E-07,0.717118362,4.97E-06,7.60E-08,1.78E-08,7.45E-07,3.74E-07,4.01E-07,2.15E-08,0,0,0,0,0,0,0,0,,,
413,1.06E-06,0.729628087,5.20E-06,2.30E-08,9.78E-09,5.39E-07,1.17E-07,5.24E-07,5.95E-08,0,0,0,0,0,0,0,0,,,
414,1.34E-06,0.742771569,6.05E-06,5.64E-08,1.45E-09,2.15E-07,2.87E-08,1.29E-06,3.65E-08,0,0,0,0,0,0,0,0,,,
415,1.83E-06,0.754697311,7.72E-06,3.39E-08,4.08E-11,2.44E-07,2.69E-08,2.84E-06,5.85E-09,0,0,0,0,0,0,0,0,,,
416,2.29E-06,0.766100269,9.70E-06,4.89E-08,4.11E-11,5.62E-07,9.91E-09,3.08E-06,6.33E-11,0,0,0,0,0,0,0,0,,,
417,2.45E-06,0.77952745,1.17E-05,4.63E-08,4.16E-11,6.48E-07,8.01E-09,1.97E-06,6.37E-11,0,0,0,0,0,0,0,0,,,
418,2.55E-06,0.792384143,1.31E-05,3.58E-08,1.72E-09,4.88E-07,8.14E-09,8.96E-07,5.53E-08,0,0,0,0,0,0,0,0,,,
419,2.72E-06,0.803109862,1.46E-05,6.15E-08,2.07E-08,9.38E-07,1.42E-09,6.08E-07,6.23E-08,0,0,0,0,0,0,0,0,,,
420,3.28E-06,0.812202509,1.72E-05,4.10E-08,4.25E-09,1.31E-06,3.46E-11,5.72E-07,7.74E-08,0,0,0,0,0,0,0,0,,,
421,4.34E-06,0.820402062,2.16E-05,3.01E-08,4.40E-11,1.17E-06,4.28E-08,7.15E-07,4.34E-08,0,0,0,0,0,0,0,0,,,
422,6.34E-06,0.826843266,2.75E-05,5.41E-08,5.27E-10,1.20E-06,2.99E-08,1.53E-06,7.85E-09,0,0,0,0,0,0,0,0,,,
423,8.74E-06,0.832563334,3.32E-05,4.76E-08,1.40E-10,2.04E-06,2.76E-08,2.61E-06,1.86E-08,0,0,0,0,0,0,0,0,,,
424,1.11E-05,0.841221967,3.91E-05,2.38E-08,3.22E-10,2.80E-06,4.60E-08,3.23E-06,3.59E-09,0,0,0,0,0,0,0,0,,,
425,1.27E-05,0.851096777,4.87E-05,4.95E-08,8.88E-09,2.41E-06,9.10E-08,2.50E-06,6.46E-11,0,0,0,0,0,0,0,0,,,
426,1.36E-05,0.862137325,6.73E-05,7.68E-08,6.73E-08,1.31E-06,6.15E-08,1.43E-06,2.14E-09,0,0,0,0,0,0,0,0,,,
427,1.53E-05,0.874177448,9.58E-05,3.55E-08,2.27E-07,8.99E-07,4.83E-08,7.99E-07,4.47E-10,0,0,0,0,0,0,0,0,,,
428,1.97E-05,0.884858812,0.000129472,3.43E-08,2.85E-07,8.67E-07,2.04E-08,6.12E-07,4.83E-08,0,0,0,0,0,0,0,0,,,
429,2.92E-05,0.893496892,0.000162408,6.53E-08,3.34E-07,7.75E-07,1.88E-08,5.01E-07,5.46E-08,0,0,0,0,0,0,0,0,,,
430,4.64E-05,0.898829202,0.000194453,4.56E-08,2.08E-07,4.26E-07,1.02E-08,6.89E-07,3.84E-08,0,0,0,0,0,0,0,0,,,
431,7.10E-05,0.903597529,0.000232936,1.55E-08,6.03E-08,4.31E-07,2.16E-08,1.26E-06,5.71E-08,0,0,0,0,0,0,0,0,,,
432,9.89E-05,0.899829306,0.000297654,4.15E-08,5.59E-09,3.39E-07,1.06E-08,1.73E-06,4.17E-07,0,0,0,0,0,0,0,0,,,
433,0.000123903,0.895902965,0.000405121,5.03E-08,4.16E-08,4.71E-07,2.28E-08,1.29E-06,6.81E-07,0,0,0,0,0,0,0,0,,,
434,0.000146221,0.901123702,0.000564085,4.60E-08,6.72E-09,4.51E-07,1.24E-08,7.01E-07,3.85E-07,0,0,0,0,0,0,0,0,,,
435,0.000176881,0.906618329,0.000783265,5.23E-08,5.02E-11,3.96E-07,1.76E-08,4.69E-07,8.24E-07,0,0,0,0,0,0,0,0,,,
436,0.000241331,0.917748486,0.001091254,6.84E-08,5.06E-11,4.31E-07,2.56E-08,4.70E-07,1.06E-06,0,0,0,0,0,0,0,0,,,
437,0.000383698,0.929733648,0.001581831,1.02E-07,5.10E-11,9.03E-07,6.26E-08,5.71E-07,7.64E-07,0,0,0,0,0,0,0,0,,,
438,0.000668055,0.942880041,0.002402253,1.95E-08,5.16E-11,6.66E-07,6.16E-08,5.41E-07,2.72E-07,0,0,0,0,0,0,0,0,,,
439,0.001149552,0.956474464,0.003618655,6.50E-08,2.18E-07,3.76E-07,4.15E-08,6.11E-07,2.44E-08,0,0,0,0,0,0,0,0,,,
440,0.001800792,0.968001124,0.005235303,1.21E-07,9.55E-07,4.63E-07,1.74E-08,7.57E-07,3.42E-08,0,0,0,0,0,0,0,0,,,
441,0.002535362,0.977618458,0.007452145,9.54E-08,1.35E-06,1.09E-06,3.41E-08,6.35E-07,3.05E-07,0,0,0,0,0,0,0,0,,,
442,0.003358927,0.984362694,0.010843651,9.95E-08,7.70E-07,7.21E-07,1.78E-08,6.57E-07,4.06E-08,0,0,0,0,0,0,0,0,,,
443,0.004561491,0.991958404,0.018203346,9.26E-08,1.62E-07,3.59E-07,2.60E-08,1.20E-06,1.03E-07,0,0,0,0,0,0,0,0,,,
444,0.018820824,0.996041481,0.034712095,2.14E-07,1.07E-08,4.27E-07,6.89E-08,1.73E-06,7.91E-07,0,0,0,0,0,0,0,0,,,
445,0.043712563,1,0.052313215,2.12E-07,1.25E-08,7.74E-07,2.12E-07,1.91E-06,3.42E-07,0,0,0,0,0,0,0,0,,,
446,0.066064808,0.974326698,0.078254637,2.63E-07,1.24E-09,4.51E-07,3.22E-07,1.36E-06,1.37E-07,0,0,0,0,0,0,0,0,,,
447,0.088556914,0.944121307,0.105681012,2.17E-07,5.11E-11,3.41E-07,1.80E-07,6.60E-07,1.32E-08,0,0,0,0,0,0,0,0,,,
