path,plume_id,bands,height,width,shape_ok,crs,pixel_size_x,pixel_size_y,center_lon,center_lat,plume_lon,plume_lat,center_offset_m,center_offset_px
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/tan20250503t033800c00s4001-K_l89_sr_LANDSAT_8_20250504T025954Z.tif,tan20250503t033800c00s4001-K,10,530,530,False,EPSG:32650,30.0,-30.0,113.6678602789586,37.590509647086975,113.66776369827228,37.59051855800704,8.587015704513911,0.28623385681713037
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/ang20171023t215413-E_l89_sr_LANDSAT_8_20171024T182251Z.tif,ang20171023t215413-E,10,516,515,False,EPSG:32611,30.0,-30.0,-117.70447159282514,33.71965188062449,-117.704563,33.719642,8.542861536129532,0.28476205120431775
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20240612t200810p0000-F_l89_sr_LANDSAT_9_20240613T182124Z.tif,GAO20240612t200810p0000-F,10,516,515,False,EPSG:32611,30.0,-30.0,-117.8357875115976,33.93826054375407,-117.83578514129312,33.93833710478336,8.495073664246208,0.2831691221415403
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20231220t083556p06002-A_l89_sr_LANDSAT_9_20231221T055728Z.tif,emi20231220t083556p06002-A,10,519,519,False,EPSG:32642,30.0,-30.0,67.03207996432752,25.029524193811124,67.03201751160742,25.029473104618447,8.470949798961012,0.2823649932987004
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/tan20241008t163028c00s4001-B_l89_sr_LANDSAT_9_20241009T160517Z.tif,tan20241008t163028c00s4001-B,10,517,516,False,EPSG:32617,30.0,-30.0,-81.92463882167608,37.14519829016022,-81.92454819458943,37.14517532575499,8.44524017822367,0.281508005940789
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20240415t190413p0000-E_l89_sr_LANDSAT_8_20240416T183401Z.tif,GAO20240415t190413p0000-E,10,522,521,False,EPSG:32611,30.0,-30.0,-118.99223580960435,34.407007798680944,-118.99226377546312,34.406937601571485,8.200476014230313,0.27334920047434375
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20240611t194634p0000-F_l89_sr_LANDSAT_8_20240612T182724Z.tif,GAO20240611t194634p0000-F,10,519,518,False,EPSG:32611,30.0,-30.0,-118.51809899299066,34.32981738278057,-118.5181839597139,34.32979542855473,8.18964386159714,0.2729881287199047
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230927t193128p0000-A_l89_sr_LANDSAT_9_20230928T174939Z.tif,GAO20230927t193128p0000-A,10,529,527,False,EPSG:32613,30.0,-30.0,-107.86185496727157,39.525264639410565,-107.86194831796664,39.52527786353238,8.159682655168927,0.27198942183896424
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230626t101232p07010-E_l89_sr_LANDSAT_9_20230627T100753Z.tif,emi20230626t101232p07010-E,10,527,526,False,EPSG:32632,30.0,-30.0,5.809601082556987,31.670061424802473,5.809518134026888,31.670042938081423,8.128704406787657,0.27095681355958856
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/av320241005t172306-D_l89_sr_LANDSAT_9_20241006T171341Z.tif,av320241005t172306-D,10,514,513,False,EPSG:32614,30.0,-30.0,-99.47254861730391,35.83197210497153,-99.4726186900918,35.83192756293208,8.031933647458551,0.2677311215819517
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20240611t203734p0000-F_l89_sr_LANDSAT_8_20240612T182724Z.tif,GAO20240611t203734p0000-F,10,519,519,False,EPSG:32611,30.0,-30.0,-118.51827661734133,34.33062673477635,-118.5183276457427,34.3305681082237,8.021538103636969,0.2673846034545656
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/ang20180922t205612-S_l89_sr_LANDSAT_8_20180923T183347Z.tif,ang20180922t205612-S,10,526,524,False,EPSG:32611,30.0,-30.0,-119.6625880871888,35.3602131899429,-119.662674,35.360225,7.917473204038015,0.2639157734679338
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/ang20220520t203626-A_l89_sr_LANDSAT_9_20220521T183337Z.tif,ang20220520t203626-A,10,522,521,False,EPSG:32611,30.0,-30.0,-118.90446594797315,35.402944380870245,-118.90454,35.402982,7.9164199810796845,0.2638806660359895
/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/ang20170615t234140-B_l89_sr_LANDSAT_8_20170616T183349Z.tif,ang20170615t234140-B,10,525,523,False,EPSG:32611,30.0,-30.0,-119.41266435652128,35.26472961988009,-119.412672,35.264659,7.865762160315904,0.26219207201053013
