plume_id,datetime,plume_latitude,plume_longitude,l89_path
GAO20230824t165721p0000-A,2023-08-24 16:57:21+00:00,32.38952864492185,-101.8511153717039,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t165721p0000-A_l89_sr_LANDSAT_9_20230824T172037Z.tif
GAO20230824t165721p0000-C,2023-08-24 16:57:21+00:00,32.09216854491878,-101.82307457473156,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t165721p0000-C_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t165721p0000-E,2023-08-24 16:57:21+00:00,31.91911416920325,-101.83074588741556,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t165721p0000-E_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t165721p0000-F,2023-08-24 16:57:21+00:00,31.732930324930194,-101.78884998012104,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t165721p0000-F_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-A,2023-08-24 17:16:00+00:00,32.09216594371368,-101.8229801375206,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-A_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-B,2023-08-24 17:16:00+00:00,32.09059095947259,-101.82456238489648,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-B_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-C,2023-08-24 17:16:00+00:00,31.95190553832346,-101.79345017541226,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-C_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-D,2023-08-24 17:16:00+00:00,31.90744218824875,-101.78365300402156,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-D_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-E,2023-08-24 17:16:00+00:00,31.8695245576776,-101.79733524023509,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-E_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-F,2023-08-24 17:16:00+00:00,31.870829237194343,-101.79763554232387,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-F_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-G,2023-08-24 17:16:00+00:00,31.854896384244668,-101.78608999462584,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-G_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-H,2023-08-24 17:16:00+00:00,31.84392097123869,-101.7783942444872,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-H_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-I,2023-08-24 17:16:00+00:00,31.832610100922835,-101.78374893851856,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-I_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-J,2023-08-24 17:16:00+00:00,31.732896027075952,-101.78874928542236,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-J_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-K,2023-08-24 17:16:00+00:00,31.6479067631887,-101.76693718021068,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-K_l89_sr_LANDSAT_9_20230824T172101Z.tif
GAO20230824t171600p0000-L,2023-08-24 17:16:00+00:00,31.64445141793354,-101.76558222035116,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/GAO20230824t171600p0000-L_l89_sr_LANDSAT_9_20230824T172101Z.tif
emi20220815t105833p07011-A,2022-08-15 10:58:33+00:00,39.46856358299792,53.642844715586165,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-A_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-B,2022-08-15 10:58:33+00:00,39.46178307109079,53.77564399710664,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-B_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-C,2022-08-15 10:58:33+00:00,39.35888497689592,53.80007184608144,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-C_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-D,2022-08-15 10:58:33+00:00,39.36064210232351,53.76542327358106,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-D_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-E,2022-08-15 10:58:33+00:00,39.35333665534071,53.72635637327707,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-E_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-F,2022-08-15 10:58:33+00:00,39.33651827175075,54.022650830484224,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-F_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-G,2022-08-15 10:58:33+00:00,39.46450355176808,53.74867399088069,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-G_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-H,2022-08-15 10:58:33+00:00,39.49790749728422,53.635337860359215,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-H_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-I,2022-08-15 10:58:33+00:00,39.44864991409165,53.792912540768185,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-I_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-J,2022-08-15 10:58:33+00:00,39.3467912865498,53.88070381932161,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-J_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-K,2022-08-15 10:58:33+00:00,39.44315069391797,53.81785637832729,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-K_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-L,2022-08-15 10:58:33+00:00,39.478934631981616,53.73231771845616,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-L_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-M,2022-08-15 10:58:33+00:00,39.37712635064816,53.83515240321816,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-M_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-N,2022-08-15 10:58:33+00:00,39.38643002877541,53.82326638419866,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-N_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220815t105833p07011-R,2022-08-15 10:58:33+00:00,39.46403216825422,53.62470730522145,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220815t105833p07011-R_l89_sr_LANDSAT_9_20220816T070706Z.tif
emi20220818t083506p06021-A,2022-08-18 08:35:06+00:00,41.09739339574512,69.48592862836031,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220818t083506p06021-A_l89_sr_LANDSAT_9_20220819T055844Z.tif
emi20220820t083324p06013-A,2022-08-20 08:33:24+00:00,40.048376918509376,61.04529516073956,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220820t083324p06013-A_l89_sr_LANDSAT_8_20220821T063632Z.tif
emi20220822t100653p07004-A,2022-08-22 10:06:53+00:00,31.92916976951213,36.1897581208392,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220822t100653p07004-A_l89_sr_LANDSAT_8_20220823T080527Z.tif
emi20220826t174642p12024-A,2022-08-26 17:46:42+00:00,32.35498887190761,-104.09102920307352,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220826t174642p12024-A_l89_sr_LANDSAT_8_20220827T173402Z.tif
emi20220830t065232p05004-A,2022-08-30 06:52:32+00:00,33.7977630980466,35.91380064557438,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220830t065232p05004-A_l89_sr_LANDSAT_8_20220830T081050Z.tif
emi20220830t065244p05005-A,2022-08-30 06:52:44+00:00,33.326645993013074,36.44370131665392,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220830t065244p05005-A_l89_sr_LANDSAT_8_20220830T081114Z.tif
emi20220831t060702p04007-A,2022-08-31 06:07:02+00:00,29.171401884101016,47.92354115343662,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220831t060702p04007-A_l89_sr_LANDSAT_8_20220831T071648Z.tif
emi20220831t060702p04007-C,2022-08-31 06:07:02+00:00,29.04918840510625,47.58458775162615,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220831t060702p04007-C_l89_sr_LANDSAT_8_20220831T071648Z.tif
emi20220901t034318p03002-A,2022-09-01 03:43:18+00:00,38.48090953595508,65.99046097363293,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-A_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-B,2022-09-01 03:43:18+00:00,38.53942928045058,66.00338712808644,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-B_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-C,2022-09-01 03:43:18+00:00,38.51463597113681,66.00201744015325,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-C_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-D,2022-09-01 03:43:18+00:00,38.53484539372735,65.94995353544937,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-D_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-E,2022-09-01 03:43:18+00:00,38.53689634555457,65.88933998167374,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-E_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-F,2022-09-01 03:43:18+00:00,38.51827334470116,65.88622966758834,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-F_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-G,2022-09-01 03:43:18+00:00,38.31145707241589,66.07193368965741,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-G_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-H,2022-09-01 03:43:18+00:00,38.53575799604005,66.01872788864645,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-H_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-I,2022-09-01 03:43:18+00:00,38.49604597467376,66.01116030124584,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-I_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-J,2022-09-01 03:43:18+00:00,38.56022972352491,65.95050491798665,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-J_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-K,2022-09-01 03:43:18+00:00,38.53307754914167,65.92629678196332,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-K_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20220901t034318p03002-M,2022-09-01 03:43:18+00:00,38.2604353579178,66.01466298753004,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20220901t034318p03002-M_l89_sr_LANDSAT_8_20220901T061823Z.tif
emi20230125t004744p16006-A,2023-01-25 00:47:44+00:00,-32.46873908543299,151.07423446418647,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230125t004744p16006-A_l89_sr_LANDSAT_9_20230125T234342Z.tif
emi20230125t004744p16006-C,2023-01-25 00:47:44+00:00,-32.68492222461323,151.07527624444242,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230125t004744p16006-C_l89_sr_LANDSAT_9_20230125T234406Z.tif
emi20230129t130333p08047-A,2023-01-29 13:03:33+00:00,-38.74534630840287,-68.19705497646203,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230129t130333p08047-A_l89_sr_LANDSAT_8_20230129T141706Z.tif
emi20230203t062256p05002-A,2023-02-03 06:22:56+00:00,28.94294084320758,69.04903143889666,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_L89_L2SR_by_gee/emi20230203t062256p05002-A_l89_sr_LANDSAT_9_20230204T055625Z.tif
