plume_id,error
GAO20230820t190642p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-D/plume.tif
GAO20230820t190642p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-E/plume.tif
GAO20230820t190642p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-F/plume.tif
GAO20230820t190642p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-G/plume.tif
GAO20230820t190642p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-I/plume.tif
GAO20230820t190642p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-J/plume.tif
GAO20230820t190642p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-K/plume.tif
GAO20230820t190642p0000-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-L/plume.tif
GAO20230820t190642p0000-M,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t190642p0000-M/plume.tif
GAO20230820t191647p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-A/plume.tif
GAO20230820t191647p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-B/plume.tif
GAO20230820t191647p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-C/plume.tif
GAO20230820t191647p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-D/plume.tif
GAO20230820t191647p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-E/plume.tif
GAO20230820t191647p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-F/plume.tif
GAO20230820t191647p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t191647p0000-G/plume.tif
GAO20230820t192807p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-A/plume.tif
GAO20230820t192807p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-B/plume.tif
GAO20230820t192807p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-C/plume.tif
GAO20230820t192807p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-D/plume.tif
GAO20230820t192807p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-E/plume.tif
GAO20230820t192807p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-F/plume.tif
GAO20230820t192807p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t192807p0000-G/plume.tif
GAO20230820t193517p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-A/plume.tif
GAO20230820t193517p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-B/plume.tif
GAO20230820t193517p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-C/plume.tif
GAO20230820t193517p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-D/plume.tif
GAO20230820t193517p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-E/plume.tif
GAO20230820t193517p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-F/plume.tif
GAO20230820t193517p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230820t193517p0000-G/plume.tif
