plume_id,error
GAO20230824t164045p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t164045p0000-A/plume.tif
GAO20230824t164045p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t164045p0000-B/plume.tif
GAO20230824t165721p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t165721p0000-A/plume.tif
GAO20230824t165721p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t165721p0000-C/plume.tif
GAO20230824t165721p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t165721p0000-E/plume.tif
GAO20230824t165721p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t165721p0000-F/plume.tif
GAO20230824t171600p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-A/plume.tif
GAO20230824t171600p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-B/plume.tif
GAO20230824t171600p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-C/plume.tif
GAO20230824t171600p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-D/plume.tif
GAO20230824t171600p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-E/plume.tif
GAO20230824t171600p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-F/plume.tif
GAO20230824t171600p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-G/plume.tif
GAO20230824t171600p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-H/plume.tif
GAO20230824t171600p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-I/plume.tif
GAO20230824t171600p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-J/plume.tif
GAO20230824t171600p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-K/plume.tif
GAO20230824t171600p0000-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t171600p0000-L/plume.tif
GAO20230824t172827p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-A/plume.tif
GAO20230824t172827p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-B/plume.tif
GAO20230824t172827p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-C/plume.tif
GAO20230824t172827p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-D/plume.tif
GAO20230824t172827p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-E/plume.tif
GAO20230824t172827p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-F/plume.tif
GAO20230824t172827p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-G/plume.tif
GAO20230824t172827p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t172827p0000-H/plume.tif
GAO20230824t173950p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-A/plume.tif
GAO20230824t173950p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-B/plume.tif
GAO20230824t173950p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-C/plume.tif
GAO20230824t173950p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-D/plume.tif
GAO20230824t173950p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-E/plume.tif
GAO20230824t173950p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-F/plume.tif
GAO20230824t173950p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-G/plume.tif
GAO20230824t173950p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-H/plume.tif
GAO20230824t173950p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t173950p0000-I/plume.tif
GAO20230824t174552p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-A/plume.tif
GAO20230824t174552p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-B/plume.tif
GAO20230824t174552p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-C/plume.tif
GAO20230824t174552p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-D/plume.tif
GAO20230824t174552p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-E/plume.tif
GAO20230824t174552p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-F/plume.tif
GAO20230824t174552p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-G/plume.tif
GAO20230824t174552p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-H/plume.tif
GAO20230824t174552p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-I/plume.tif
GAO20230824t174552p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t174552p0000-J/plume.tif
GAO20230824t175220p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-A/plume.tif
GAO20230824t175220p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-B/plume.tif
GAO20230824t175220p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-C/plume.tif
GAO20230824t175220p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-D/plume.tif
GAO20230824t175220p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-E/plume.tif
GAO20230824t175220p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-F/plume.tif
GAO20230824t175220p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-G/plume.tif
GAO20230824t175220p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-H/plume.tif
GAO20230824t175220p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175220p0000-I/plume.tif
GAO20230824t175835p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-A/plume.tif
GAO20230824t175835p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-B/plume.tif
GAO20230824t175835p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-C/plume.tif
GAO20230824t175835p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-D/plume.tif
GAO20230824t175835p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-E/plume.tif
GAO20230824t175835p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-F/plume.tif
GAO20230824t175835p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-G/plume.tif
GAO20230824t175835p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-H/plume.tif
GAO20230824t175835p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-I/plume.tif
GAO20230824t175835p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-J/plume.tif
GAO20230824t175835p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-K/plume.tif
GAO20230824t175835p0000-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t175835p0000-L/plume.tif
GAO20230824t180435p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-B/plume.tif
GAO20230824t180435p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-C/plume.tif
GAO20230824t180435p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-D/plume.tif
GAO20230824t180435p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-E/plume.tif
GAO20230824t180435p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-F/plume.tif
GAO20230824t180435p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-H/plume.tif
GAO20230824t180435p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-I/plume.tif
GAO20230824t180435p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-J/plume.tif
GAO20230824t180435p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-K/plume.tif
GAO20230824t180435p0000-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-L/plume.tif
GAO20230824t180435p0000-M,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-M/plume.tif
GAO20230824t180435p0000-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-N/plume.tif
GAO20230824t180435p0000-O,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-O/plume.tif
GAO20230824t180435p0000-P,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t180435p0000-P/plume.tif
GAO20230824t181850p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-A/plume.tif
GAO20230824t181850p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-B/plume.tif
GAO20230824t181850p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-C/plume.tif
GAO20230824t181850p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-D/plume.tif
GAO20230824t181850p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-E/plume.tif
GAO20230824t181850p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-F/plume.tif
GAO20230824t181850p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-G/plume.tif
GAO20230824t181850p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-H/plume.tif
GAO20230824t181850p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t181850p0000-I/plume.tif
GAO20230824t182756p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-A/plume.tif
GAO20230824t182756p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-B/plume.tif
GAO20230824t182756p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-C/plume.tif
GAO20230824t182756p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-D/plume.tif
GAO20230824t182756p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-E/plume.tif
GAO20230824t182756p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-F/plume.tif
GAO20230824t182756p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-G/plume.tif
GAO20230824t182756p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-H/plume.tif
GAO20230824t182756p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t182756p0000-I/plume.tif
GAO20230824t183712p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-B/plume.tif
GAO20230824t183712p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-C/plume.tif
GAO20230824t183712p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-D/plume.tif
GAO20230824t183712p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-E/plume.tif
GAO20230824t183712p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-F/plume.tif
GAO20230824t183712p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-G/plume.tif
GAO20230824t183712p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-H/plume.tif
GAO20230824t183712p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-J/plume.tif
GAO20230824t183712p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t183712p0000-K/plume.tif
GAO20230824t185535p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-A/plume.tif
GAO20230824t185535p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-B/plume.tif
GAO20230824t185535p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-C/plume.tif
GAO20230824t185535p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-D/plume.tif
GAO20230824t185535p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-E/plume.tif
GAO20230824t185535p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-F/plume.tif
GAO20230824t185535p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t185535p0000-H/plume.tif
GAO20230825t174934p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230825t174934p0000-A/plume.tif
av320241004t173642-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t173642-A/plume.tif
av320241004t173642-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t173642-B/plume.tif
av320241004t173642-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t173642-C/plume.tif
av320241004t184138-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t184138-A/plume.tif
av320241004t184138-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t184138-L/plume.tif
av320241004t184138-M,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t184138-M/plume.tif
av320241004t184138-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t184138-N/plume.tif
av320241004t184138-O,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t184138-O/plume.tif
av320241004t184138-T,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t184138-T/plume.tif
av320241004t185733-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t185733-J/plume.tif
av320241004t185733-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t185733-K/plume.tif
av320241004t191153-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t191153-C/plume.tif
av320241004t191153-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/av320241004t191153-E/plume.tif
emi20220810t064957p05033-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220810t064957p05033-A/plume.tif
emi20220810t065021p05035-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220810t065021p05035-A/plume.tif
emi20220814t051412p04005-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220814t051412p04005-C/plume.tif
emi20220814t132203p09003-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220814t132203p09003-A/plume.tif
emi20220816t114703p08014-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220816t114703p08014-A/plume.tif
emi20220817t123245p08004-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220817t123245p08004-A/plume.tif
emi20220817t140501p09010-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220817t140501p09010-A/plume.tif
emi20220818t114440p08004-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220818t114440p08004-A/plume.tif
emi20220820t101013p07017-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220820t101013p07017-A/plume.tif
emi20220822t100653p07004-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220822t100653p07004-A/plume.tif
emi20220826t082915p06003-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220826t082915p06003-A/plume.tif
emi20220826t174642p12024-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220826t174642p12024-A/plume.tif
emi20220826t174654p12025-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220826t174654p12025-A/plume.tif
emi20220826t174654p12025-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220826t174654p12025-B/plume.tif
emi20220826t174706p12026-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220826t174706p12026-A/plume.tif
emi20220828t065550p05015-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220828t065550p05015-A/plume.tif
emi20220830t065232p05004-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220830t065232p05004-A/plume.tif
emi20220830t065244p05005-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220830t065244p05005-A/plume.tif
emi20220830t082542p06004-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20220830t082542p06004-C/plume.tif
emi20230126t111206p08037-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230126t111206p08037-A/plume.tif
emi20230129t193901p13016-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230129t193901p13016-A/plume.tif
emi20230131t115231p08040-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-A/plume.tif
emi20230131t115231p08040-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-B/plume.tif
emi20230131t115231p08040-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-C/plume.tif
emi20230131t115231p08040-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-D/plume.tif
emi20230131t115231p08040-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-E/plume.tif
emi20230131t115231p08040-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-F/plume.tif
emi20230131t115231p08040-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-G/plume.tif
emi20230131t115231p08040-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-H/plume.tif
emi20230131t115231p08040-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-I/plume.tif
emi20230131t115231p08040-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-J/plume.tif
emi20230131t115231p08040-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230131t115231p08040-K/plume.tif
emi20230203t171446p12007-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230203t171446p12007-B/plume.tif
emi20230204t084203p06030-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230204t084203p06030-A/plume.tif
emi20230204t084203p06030-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230204t084203p06030-B/plume.tif
emi20230204t084203p06030-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230204t084203p06030-C/plume.tif
emi20230204t180004p12001-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230204t180004p12001-A/plume.tif
emi20230204t180004p12001-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230204t180004p12001-B/plume.tif
emi20230205t171244p12006-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171244p12006-A/plume.tif
emi20230205t171244p12006-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171244p12006-B/plume.tif
emi20230205t171244p12006-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171244p12006-C/plume.tif
emi20230205t171244p12006-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171244p12006-G/plume.tif
emi20230205t171255p12007-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-B/plume.tif
emi20230205t171255p12007-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-C/plume.tif
emi20230205t171255p12007-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-E/plume.tif
emi20230205t171255p12007-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-F/plume.tif
emi20230205t171255p12007-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-G/plume.tif
emi20230205t171255p12007-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-H/plume.tif
emi20230205t171255p12007-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-I/plume.tif
emi20230205t171255p12007-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-K/plume.tif
emi20230205t171255p12007-L,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-L/plume.tif
emi20230205t171255p12007-M,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-M/plume.tif
emi20230205t171255p12007-N,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230205t171255p12007-N/plume.tif
emi20230206t162538p11006-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230206t162538p11006-A/plume.tif
emi20230215t203405p13013-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230215t203405p13013-A/plume.tif
emi20230216t133626p09013-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230216t133626p09013-A/plume.tif
emi20230216t133626p09013-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230216t133626p09013-B/plume.tif
emi20230216t133626p09013-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230216t133626p09013-C/plume.tif
emi20230216t133626p09013-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230216t133626p09013-D/plume.tif
emi20230217t111551p07011-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230217t111551p07011-A/plume.tif
emi20230217t111603p07012-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230217t111603p07012-A/plume.tif
emi20230217t124812p08008-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230217t124812p08008-A/plume.tif
emi20230217t203321p13026-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230217t203321p13026-A/plume.tif
emi20230218t102723p07007-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230218t102723p07007-A/plume.tif
emi20230219t094118p06018-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t094118p06018-A/plume.tif
emi20230219t094118p06018-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t094118p06018-B/plume.tif
emi20230219t094130p06019-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t094130p06019-B/plume.tif
emi20230219t094130p06019-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t094130p06019-C/plume.tif
emi20230219t094130p06019-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t094130p06019-F/plume.tif
emi20230219t094130p06019-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t094130p06019-G/plume.tif
emi20230219t185842p12016-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230219t185842p12016-A/plume.tif
emi20230220t194324p13021-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/emi20230220t194324p13021-D/plume.tif
