plume_id,emit_file,b6_corr,b6_rmse,b7_corr,b7_rmse
GAO20230615t202740p0000-A,EMIT_L2A_RFL_001_20230614T224751_2316515_002.nc,0.7949,0.0547,0.8236,0.0419
GAO20230824t154540p0000-A,EMIT_L2A_RFL_001_20230824T175337_2323612_023.nc,0.8761,0.0657,0.8805,0.069
