wavelength,b1,b2,b3,b4,b5,b6,b7
427.00000085827,0.000368,0.0,0.0,0.0,0.0,0.0,0.0
427.9999996576,0.000722,0.0,0.0,0.0,0.0,0.0,0.0
429.00000018446997,0.002058,0.0,0.0,0.0,0.0,0.0,0.0
429.99999914000006,0.003606,0.0,0.0,0.0,0.0,0.0,0.0
431.00000090079,0.00877,0.0,0.0,0.0,0.0,0.0,0.0
432.00000089856,0.022245,0.0,0.0,0.0,0.0,0.0,0.0
433.00000040701997,0.079823,0.0,0.0,0.0,0.0,0.0,0.0
433.99999914068,0.234204,0.0,0.0,0.0,0.0,0.0,0.0
435.00000089174995,0.496474,0.0,0.0,0.0,0.0,0.0,0.0
436.00000031392,0.765424,6.4e-05,0.0,0.0,0.0,0.0,0.0
436.99999989511997,0.937578,8.8e-05,0.0,0.0,0.0,0.0,0.0
438.00000054312,0.976327,0.000123,0.0,0.0,0.0,0.0,0.0
438.99999961807,0.986419,0.000178,0.0,0.0,0.0,0.0,0.0
440.000000528,0.994738,0.000265,0.0,0.0,0.0,0.0,0.0
440.9999992503,0.988397,0.000406,0.0,0.0,0.0,0.0,0.0
441.99999978784,0.970891,0.000648,0.0,0.0,0.0,0.0,0.0
443.00000061134006,0.967403,0.001063,0.0,0.0,0.0,0.0,0.0
444.000000444,0.975955,0.001808,0.0,0.0,0.0,0.0,0.0
445.00000024474997,0.982739,0.004232,0.0,0.0,0.0,0.0,0.0
445.99999927747996,0.988914,0.007338,0.0,0.0,0.0,0.0,0.0
446.99999906577006,1.0,0.013206,0.0,0.0,0.0,0.0,0.0
447.99999942656,0.986618,0.027381,0.0,0.0,0.0,0.0,0.0
449.00000044451,0.873905,0.0614,0.0,0.0,0.0,0.0,0.0
450.00000045,0.640638,0.1281,0.0,0.0,0.0,0.0,0.0
451.00000004509997,0.335997,0.284261,0.0,0.0,0.0,0.0,0.0
452.00000010848,0.132112,0.526226,0.0,0.0,0.0,0.0,0.0
452.99999974632004,0.049115,0.754618,0.0,0.0,0.0,0.0,0.0
454.00000037228,0.019386,0.850159,0.0,0.0,0.0,0.0,0.0
454.999999545,0.008479,0.870507,0.0,0.0,0.0,0.0,0.0
455.99999919744,0.003602,0.873015,0.0,0.0,0.0,0.0,0.0
456.99999946531,0.001695,0.87386,0.0,0.0,0.0,0.0,0.0
458.00000074196004,0.000772,0.874113,0.0,0.0,0.0,0.0,0.0
458.99999946756003,0.000367,0.87536,0.0,0.0,0.0,0.0,0.0
